Course Title,Instructors,Course Subject,Total Course Hours (Thousands),Course_Level,Pre_Requirement,Course_Price,Placement_Opportunity,Course_Relevancy,Expected_Package,EMI_Available,Financial_Aid,Offer_Certificate,soup
Circuits and Electronics,Khurram Afridi,"Science, Technology, Engineering, and Mathematics",418.94,Advanced,No Prerequisite,350.0,Yes,2012,8,Yes,No,Yes,"""Title"": Circuits and Electronics, ""Level"": Advanced, ""Price"": 350.0, ""Duration"": 418.94, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2012 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Chris Terman",Computer Science,884.04,Advanced,No Prerequisite,900.0,No,2012,16,Yes,No,Yes,"""Title"": Introduction to Computer Science and Programming, ""Level"": Advanced, ""Price"": 900.0, ""Duration"": 884.04, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2012 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",227.55,Advanced,No Prerequisite,550.0,No,2012,12,No,Yes,Yes,"""Title"": Introduction to Solid State Chemistry, ""Level"": Advanced, ""Price"": 550.0, ""Duration"": 227.55, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2012 Market Demand, ""Expected_Package"": 12 to 13 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computer Science,"David Malan, Nate Hardison, Rob Bowden, Tommy MacWilliam, Zamyla Chan",Computer Science,220.9,Advanced,No Prerequisite,0.0,Yes,2012,7,No,Yes,Yes,"""Title"": Introduction to Computer Science, ""Level"": Advanced, ""Price"": Free, ""Duration"": 220.9, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2012 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Health in Numbers: Quantitative Methods in Clinical and Public Health Research,"Earl Francis Cook, Marcello Pagano","Government, Health, and Social Science",804.41,Advanced,No Prerequisite,0.0,No,2012,25,No,No,Yes,"""Title"": Health in Numbers: Quantitative Methods in Clinical and Public Health Research, ""Level"": Advanced, ""Price"": Free, ""Duration"": 804.41, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2012 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Computer Science and Programming,Larry Rudolph,Computer Science,639.4,Advanced,No Prerequisite,0.0,Yes,2013,16,No,Yes,Yes,"""Title"": Introduction to Computer Science and Programming, ""Level"": Advanced, ""Price"": Free, ""Duration"": 639.4, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",68.11,Advanced,No Prerequisite,875.0,No,2013,24,Yes,No,Yes,"""Title"": Introduction to Solid State Chemistry, ""Level"": Advanced, ""Price"": 875.0, ""Duration"": 68.11, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 24 to 25 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
The Challenges of Global Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",279.22,Advanced,No Prerequisite,0.0,No,2013,20,No,No,Yes,"""Title"": The Challenges of Global Poverty, ""Level"": Advanced, ""Price"": Free, ""Duration"": 279.22, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Electricity and Magnetism,"Walter Lewin, John Belcher, Peter Dourmashkin, Ricardo Abbate, Saif Rayyan, George Stephans, Isaac Chuang","Science, Technology, Engineering, and Mathematics",380.35,Advanced,No Prerequisite,0.0,Yes,2013,6,No,Yes,Yes,"""Title"": Electricity and Magnetism, ""Level"": Advanced, ""Price"": Free, ""Duration"": 380.35, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",186.61,Advanced,No Prerequisite,775.0,No,2013,16,No,No,Yes,"""Title"": Justice, ""Level"": Advanced, ""Price"": 775.0, ""Duration"": 186.61, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Circuits and Electronics,Tania Khanna,"Science, Technology, Engineering, and Mathematics",148.54,Advanced,No Prerequisite,325.0,Yes,2013,22,Yes,No,Yes,"""Title"": Circuits and Electronics, ""Level"": Advanced, ""Price"": 325.0, ""Duration"": 148.54, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Biology: Secret of Life,"Eric Lander, Graham Walker, Brian White, Michelle, Mischke, Mary Ellen Wiltrout","Science, Technology, Engineering, and Mathematics",476.84,Advanced,No Prerequisite,625.0,Yes,2013,11,Yes,Yes,Yes,"""Title"": Introduction to Biology: Secret of Life, ""Level"": Advanced, ""Price"": 625.0, ""Duration"": 476.84, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 11 to 12 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
The Ancient Greek Hero,"Greg Nagy, L.Muellner","Humanities, History, Design, Religion, and Education",140.72,Advanced,No Prerequisite,0.0,Yes,2013,24,No,No,Yes,"""Title"": The Ancient Greek Hero, ""Level"": Advanced, ""Price"": Free, ""Duration"": 140.72, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 24 to 25 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Elements of Structures,"Simona Socrate, Alexie Kolpak","Science, Technology, Engineering, and Mathematics",84.75,Advanced,No Prerequisite,0.0,Yes,2013,16,No,Yes,Yes,"""Title"": Elements of Structures, ""Level"": Advanced, ""Price"": Free, ""Duration"": 84.75, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Human Health and Global Environmental Change,"Aaron Bernstein, Jack Spengler","Government, Health, and Social Science",110.67,Advanced,No Prerequisite,100.0,Yes,2013,8,No,Yes,Yes,"""Title"": Human Health and Global Environmental Change, ""Level"": Advanced, ""Price"": 100.0, ""Duration"": 110.67, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Mechanics ReView,"David Pritchard, Colin Fredericks","Science, Technology, Engineering, and Mathematics",145.95,Advanced,No Prerequisite,0.0,No,2013,25,No,Yes,Yes,"""Title"": Mechanics ReView, ""Level"": Advanced, ""Price"": Free, ""Duration"": 145.95, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",95.14,Advanced,No Prerequisite,0.0,No,2013,19,No,No,Yes,"""Title"": Introduction to Solid State Chemistry, ""Level"": Advanced, ""Price"": Free, ""Duration"": 95.14, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
The Ancient Greek Hero,Greg Nagy,"Humanities, History, Design, Religion, and Education",65.56,Advanced,No Prerequisite,350.0,Yes,2013,17,Yes,Yes,Yes,"""Title"": The Ancient Greek Hero, ""Level"": Advanced, ""Price"": 350.0, ""Duration"": 65.56, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 17 to 18 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Classical Mechanics,Walter Lewin,"Science, Technology, Engineering, and Mathematics",452.55,Advanced,No Prerequisite,0.0,Yes,2013,8,No,Yes,Yes,"""Title"": Classical Mechanics, ""Level"": Advanced, ""Price"": Free, ""Duration"": 452.55, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
